ts_code,date,close,price_change_pct,zhixing_white,zhixing_yellow,brick_chart,brick_white,brick_red_len,brick_green_len,shadow_body_ratio,strong_white_ok,tight_candle_ok,price_under_4_ok,signal_year,fwd_ret_1d,fwd_ret_3d,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d,market_cap_date,total_mv,circ_mv,total_mv_billion_cny,circ_mv_billion_cny,market_cap_bucket
603950.SH,2023-01-12,11.5,1.5004413062665423,11.257340274928783,10.870079887218045,102.08878666193814,1,9.368782966807217,8.811536279688923,0.19999999999999646,True,True,True,2023,0.006086956521739184,0.01304347826086949,0.026956521739130546,0.12521739130434772,0.17652173913043478,2022-12-30,368119.98,140016.8231,3.6811998,1.400168231,<20B
000300.SH,2023-01-13,4074.3772,1.4064171128318481,3934.653510212707,3907.7226654918545,130.79258396769444,1,8.971202918239982,5.408579342420325,0.10464613439907089,True,True,True,2023,0.015606581540854814,0.013728993967470737,0.02629837512344224,0.016506743656429457,-0.009785593734424003,,,,,,
000338.SZ,2023-01-13,9.67,1.682439537329139,9.333320307719127,9.308828320802004,104.16886371630478,1,13.22726213437636,4.45699292939922,0.21428571428570886,True,True,True,2023,0.004136504653567741,0.0020682523267838704,0.013443640124095158,0.05997931747673224,0.11995863495346426,2022-12-30,8883634.8438,5139592.0095,88.836348438,51.395920094999994,50-100B
000568.SZ,2023-01-13,216.11,3.22904227370433,200.38421141322084,190.02239505012534,121.54839902967035,1,8.06625689265357,6.322833588539538,0.14074074074073906,True,True,True,2023,0.031511730137429916,0.009023182638471017,0.0143445467585952,-0.0368330942575541,0.029059275369024862,2022-12-30,33011663.3028,32845908.1595,330.116633028,328.459081595,200B+
000713.SZ,2023-01-13,8.93,2.7617951668584606,8.850113308824303,8.79798558897243,68.13003229650975,1,15.3894968742066,5.169446600079183,0.3478260869565214,True,True,True,2023,0.004479283314669846,0.01791713325867872,0.024636058230683267,0.05151175811870101,-0.01007838745800671,2022-12-30,553227.497,553227.497,5.53227497,5.53227497,<20B
000735.SZ,2023-01-13,6.62,2.003081664098616,6.776806785361487,6.7338721804511295,61.512867487416514,1,10.327607796093815,7.177527369271758,0.299999999999992,True,True,True,2023,0.0030211480362536403,-0.006042296072507614,0.007552870090634434,0.14501510574018117,0.1570996978851964,2022-12-30,814120.0996,813676.974,8.141200996,8.13676974,<20B
000785.SZ,2023-01-13,3.59,2.571428571428558,3.6600067058323806,3.6467308897243105,53.116617282494886,1,15.629667200171966,1.165422518654239,0.25,True,True,True,2023,0.050139275766016844,0.06128133704735372,0.052924791086351064,0.11977715877437323,0.09470752089136503,2022-12-30,2670376.0917,1125140.204,26.703760917000004,11.251402039999999,20-50B
000895.SZ,2023-01-13,21.62,2.5616698292220352,21.396871242335997,21.24066102756892,79.08448149353424,1,16.682761477267718,8.335106657003507,0.09090909090908562,True,True,True,2023,0.015726179463459777,-0.008325624421831601,-0.008325624421831601,-0.012025901942645745,0.006938020351526353,2022-12-30,8983866.5253,8982472.8682,89.838665253,89.824728682,50-100B
002027.SZ,2023-01-13,5.98,3.460207612456756,5.699593302485007,5.345491854636592,92.69280940235852,1,15.3168340857803,1.4990734606340226,0.31250000000000416,True,True,True,2023,0.006688963210702115,-0.03177257525083621,-0.0033444816053512794,-0.03511705685618738,-0.053511705685618804,2022-12-30,9647389.417,9647389.417,96.47389417,96.47389417,50-100B
002081.SZ,2023-01-13,4.94,1.8556701030927991,4.705370533083854,4.612344924812031,87.55435195012772,1,14.055627708323726,0.7767744225722026,0.3750000000000028,True,True,True,2023,-0.0080971659919028,0.0,0.014170040485829816,0.010121457489878471,0.0,2022-12-30,1287831.9892,1278437.4252,12.878319892,12.784374252,<20B
002183.SZ,2023-01-13,6.16,2.3255813953488413,6.10166010090377,5.93296679197995,72.704217364395,1,15.147298676832222,1.7686481245499266,0.2857142857142848,True,True,True,2023,-0.008116883116883078,-0.0016233766233766378,-0.004870129870129913,0.014610389610389518,-0.04220779220779214,2022-12-30,1669876.8455,1532326.5228,16.698768455,15.323265227999999,<20B
002356.SZ,2023-01-13,5.7,2.333931777378817,5.661453878846787,5.636763784461152,50.411542575150776,1,11.111988356268256,8.186819351147562,0.3846153846153904,True,True,True,2023,-0.015789473684210464,-0.02280701754385961,-0.0035087719298246833,-0.012280701754386003,-0.007017543859649145,2022-12-30,765772.6403,765340.1083,7.657726403,7.653401082999999,<20B
002415.SZ,2023-01-13,30.95,2.9950083194675514,31.131128647809096,30.257722431077696,81.82400999835676,1,15.611899236583056,3.3640053974049238,0.13953488372093148,True,True,True,2023,0.030694668820678395,0.04523424878836835,0.0920840064620354,0.0911147011308564,0.08529886914378038,2022-12-30,32706432.724,31821230.9052,327.06432724,318.212309052,200B+
002420.SZ,2023-01-13,7.28,1.392757660167132,7.821075678181286,7.755133145363409,29.057792175153352,1,10.479224526586009,1.2746781492186017,0.19999999999999468,True,True,True,2023,0.0027472527472527375,0.019230769230769162,0.039835164835164916,0.0535714285714286,0.027472527472527597,2022-12-30,299146.0,290824.884,2.99146,2.90824884,<20B
002423.SZ,2023-01-13,7.04,2.3255813953488413,7.006114156669146,6.8354307644110275,73.27139311659784,1,13.893091367405788,5.970480077475074,0.39999999999999647,True,True,True,2023,0.019886363636363535,0.04403409090909083,0.046875,0.045454545454545414,-0.007102272727272707,2022-12-30,1649739.5917,1649739.5917,16.497395917,16.497395917,<20B
002461.SZ,2023-01-13,7.76,3.3288948069241098,7.622248650270619,7.457340225563909,76.32015448669893,1,15.700070594911438,7.234883766026414,0.07142857142857324,True,True,True,2023,0.011597938144329856,-0.02448453608247414,-0.020618556701030966,0.01675257731958757,0.08891752577319578,2022-12-30,1772876.1125,1772876.1125,17.728761125000002,17.728761125000002,<20B
002511.SZ,2023-01-13,13.47,1.8910741301058964,13.197294910614092,12.273410087719299,72.78932313011873,1,3.835775169765782,3.492438856997694,0.3333333333333333,True,True,True,2023,0.0014847809948033142,-0.022271714922049046,-0.025241276911655564,-0.08982925018559773,-0.08982925018559773,2022-12-30,1806414.0476,1779481.8641,18.064140476,17.794818641,<20B
002563.SZ,2023-01-13,4.58,2.460850111856838,4.515325445296386,4.4305075187969924,81.33910090634068,1,14.919682978733206,1.196094886420724,0.08333333333333148,True,True,True,2023,0.01091703056768556,0.017467248908296984,0.01965065502183405,0.008733624454148492,0.048034934497816595,2022-12-30,1411703.2438,986681.5934,14.117032438,9.866815934,<20B
002697.SZ,2023-01-13,4.7,1.9522776572667988,4.78512171217235,4.6924624060150375,66.59981254908405,1,12.699964588232902,0.42221398546224975,0.0,True,True,True,2023,0.044680851063829685,0.004255319148936065,0.014893617021276562,0.042553191489361764,0.07234042553191489,2022-12-30,765680.0,606761.99,7.6568,6.0676198999999995,<20B
002847.SZ,2023-01-13,47.7,3.876306620209058,47.21890666398369,45.928715538847115,88.33390132433922,1,12.875446156261859,2.9833738338439844,0.39751552795031103,True,True,True,2023,0.029979035639412954,0.015932914046121516,-0.019706498951782114,0.11991614255765204,0.13207547169811318,2022-12-30,1393573.0727,1241574.738,13.935730727,12.415747379999999,<20B
600008.SH,2023-01-13,2.47,0.8163265306122547,2.456339290798857,2.445432330827068,84.12314963587782,1,6.169050439229423,3.5086109761479634,0.0,True,True,True,2023,0.00809716599190291,0.00809716599190291,0.020242914979756943,0.00809716599190291,0.00809716599190291,2022-12-30,2077387.1616,2077387.1616,20.773871616,20.773871616,20-50B
600029.SH,2023-01-13,7.87,2.075226977950706,7.679617079374687,7.406701127819549,92.47494910424467,1,10.497331702372549,0.10749059702519048,0.33333333333333665,True,True,True,2023,-0.021601016518424387,-0.021601016518424387,-0.0025412960609911828,-0.0914866581956798,-0.041931385006353294,2022-12-30,13771876.3666,7767113.9399,137.718763666,77.671139399,100-200B
600031.SH,2023-01-13,16.06,1.6455696202531511,15.410286458296994,15.141585213032581,119.1488496411037,1,10.698479531253582,5.242311250104336,0.37500000000000183,True,True,True,2023,0.0,0.004358655043586568,0.014321295143213009,-0.021170610211705965,0.05915317559153199,2022-12-30,13419391.9132,13384021.6382,134.193919132,133.840216382,100-200B
600149.SH,2023-01-13,6.14,0.9868421052631415,6.305448215765773,6.2880372807017535,50.3596451125255,1,5.341041830015968,4.3728850134965,0.3333333333333432,True,True,True,2023,0.008143322475570258,0.006514657980456029,0.016286644951140072,0.06351791530944628,0.03583061889250816,2022-12-30,235699.2,235699.2,2.356992,2.356992,<20B
600176.SH,2023-01-13,13.28,1.6845329249617125,12.791069570492153,12.708244047619047,124.03512392211985,1,8.344902480566219,3.660242037947583,0.17391304347827363,True,True,True,2023,0.0,0.0037650602409640133,0.014307228915662717,0.012048192771084265,0.026355421686747205,2022-12-30,5488300.4541,5488300.4541,54.883004541,54.883004541,50-100B
600177.SH,2023-01-13,5.05,0.7984031936127733,5.007214732426488,4.9926018170426065,88.35474104732651,1,16.032230456882374,2.870852520551935,0.0,True,True,True,2023,0.007920792079207928,0.00990099009900991,0.013861386138613874,0.0,-0.013861386138613763,2022-12-30,2930095.5819,2890148.8509,29.300955819000002,28.901488509,20-50B
600258.SH,2023-01-13,23.39,2.3632385120350152,23.52034359998823,22.826347117794484,76.91838699761891,1,12.55927921426786,5.456392907368439,0.30158730158730407,True,True,True,2023,-0.02094912355707579,-0.02052159042325785,-0.0055579307396322886,-0.0324925181701583,0.02821718683197938,2022-12-30,2774770.0075,2654671.4989,27.747700074999997,26.546714989,20-50B
600269.SH,2023-01-13,3.06,0.990099009900991,3.0748312474702852,3.0648605889724307,69.33537238869235,1,13.775686689830366,2.743955418662324,0.3333333333333235,True,True,True,2023,0.006535947712418277,0.009803921568627416,0.016339869281045694,0.02287581699346397,0.009803921568627416,2022-12-30,791702.9777,791702.9777,7.917029777000001,7.917029777000001,<20B
600284.SH,2023-01-13,6.21,1.140065146579805,6.110475353894041,6.082147556390978,81.80783885279817,1,11.251859498499755,8.539450640266693,0.28571428571429114,True,True,True,2023,-0.011272141706924366,-0.0016103059581320522,0.008051529790660261,0.02898550724637672,0.030595813204508993,2022-12-30,653952.544,653952.544,6.53952544,6.53952544,<20B
