ticker,entry_date,exit_date,entry_price,exit_price,holding_days,trade_return
GE,2015-05-29,2015-06-19,27.27,27.24,16,-0.01411509229098784
AMZN,2015-06-08,2015-06-19,423.5,434.92,10,0.018667291251902807
C,2015-06-17,2015-07-23,56.54,59.87,26,0.0490625547573158
JPM,2015-06-17,2015-06-18,68.14,68.78,2,0.005996782214421348
AMZN,2015-06-23,2015-07-14,445.99,465.57,15,0.06711132503609973
BAC,2015-06-23,2015-07-15,17.67,17.68,16,0.012020606754435947
GE,2015-06-23,2015-07-02,27.55,26.78,8,-0.023340627279358372
MSFT,2015-06-23,2015-06-30,45.91,44.15,6,-0.04499242915855506
AAPL,2015-06-26,2015-06-26,126.75,126.75,1,-0.00588235294117645
JPM,2015-06-29,2015-08-21,67.2,63.6,39,-0.07759245830311845
GOOGL,2015-06-30,2015-07-14,540.04,584.18,10,0.07931639722863726
NFLX,2015-06-30,2015-09-01,93.8485,105.79,45,0.147007577687835
FB,2015-07-13,2015-07-17,90.1,94.97,5,0.07981807845366662
BAC,2015-07-29,2015-08-26,18.16,16.06,21,-0.10178970917226005
C,2015-07-29,2015-08-26,58.92,52.28,21,-0.10433441836559842
GOOGL,2015-08-04,2015-08-26,661.28,659.74,17,-0.007491876278733711
FB,2015-08-05,2015-09-08,96.44,89.53,24,-0.04816074845843055
GOOG,2015-08-06,2015-08-26,642.68,628.62,15,-0.023548417161141977
MSFT,2015-08-07,2015-08-28,46.74,43.93,16,-0.0577005577005576
AMZN,2015-08-20,2015-08-26,515.78,500.77,5,-0.06032800420325757
GOOG,2015-08-28,2015-09-18,630.38,629.25,15,-0.013111463120089262
GOOGL,2015-08-28,2015-09-08,659.69,643.88,7,-0.03605006287801671
AMZN,2015-08-31,2015-09-14,512.89,521.38,10,0.00650566591378543
NFLX,2015-09-03,2015-09-15,101.06,99.16,8,-0.059559939301972564
GOOGL,2015-09-10,2015-09-17,651.08,671.67,6,0.0439222268848789
GOOG,2015-09-28,2015-09-29,594.89,594.97,2,-0.027779139500302308
GOOGL,2015-09-28,2015-09-29,624.25,622.61,2,-0.027399828165273643
AMZN,2015-09-29,2015-10-06,496.07,537.48,6,0.06630163075824314
FB,2015-10-12,2015-10-20,94.26,97.0,7,0.04032604032604015
GE,2015-10-15,2015-10-15,28.03,28.03,1,0.015579710144927539
FB,2015-10-22,2015-10-30,99.67,101.97,7,0.05004633920296553
XOM,2015-10-23,2015-10-30,82.98,82.74,6,-0.0018096272167935634
GOOGL,2015-10-26,2015-10-27,731.12,732.82,2,0.01875356234273573
GOOG,2015-11-02,2015-11-06,721.11,733.76,5,0.0322871090727479
AAPL,2015-11-03,2015-11-25,122.57,118.03,17,-0.025994388512956323
BAC,2015-11-04,2015-11-09,17.01,17.68,4,0.029103608847496965
C,2015-11-04,2015-11-09,53.83,55.71,4,0.028618906942392996
FB,2015-11-04,2015-11-04,103.94,103.94,1,0.013257945018522177
JPM,2015-11-06,2015-11-27,68.46,67.17,15,0.010987357013847232
XOM,2015-11-10,2015-11-27,82.35,81.23,13,-0.008785845027455608
BAC,2015-11-11,2015-11-27,17.75,17.48,12,-0.020728291316526537
FB,2015-11-11,2015-11-27,109.01,105.45,12,-0.02279677509035305
MSFT,2015-11-12,2015-11-27,53.32,53.93,11,0.005219012115563748
GOOG,2015-11-13,2015-11-16,717.0,728.96,2,-0.00310435840980261
GOOGL,2015-11-13,2015-11-16,740.07,750.42,2,-0.008076348591595894
C,2015-11-16,2015-11-25,53.69,54.08,8,0.017114914425427452
NFLX,2015-11-16,2015-11-19,111.35,120.22,4,0.15986493005306324
AMZN,2015-11-18,2015-11-27,663.54,673.26,7,0.046572361262241735
GOOG,2015-11-18,2015-11-18,740.0,740.0,1,0.020267475527367962
GOOGL,2015-11-18,2015-11-18,760.01,760.01,1,0.018807474731225904
NFLX,2015-11-27,2015-12-03,125.44,126.81,5,0.0213434278350515
FB,2015-12-01,2015-12-18,107.12,104.04,14,-0.0019186492709132308
GE,2015-12-01,2015-12-24,30.17,30.83,18,0.029726118904475518
GOOGL,2015-12-01,2015-12-04,783.79,779.21,4,0.021445893688143203
BAC,2015-12-02,2015-12-16,17.62,17.75,11,-0.003368893879842738
AAPL,2015-12-03,2015-12-21,115.2,107.33,13,-0.07696938424492616
C,2015-12-03,2015-12-24,53.51,52.71,16,-0.026413003324713635
XOM,2015-12-03,2015-12-11,78.41,74.34,7,-0.06549340037712148
AMZN,2015-12-04,2015-12-04,672.64,672.64,1,0.009590994371482253
JPM,2015-12-04,2015-12-24,67.89,66.6,15,0.012158054711246091
AMZN,2015-12-08,2015-12-16,677.33,675.77,7,0.008867921711479099
GOOGL,2015-12-10,2015-12-16,760.04,776.59,5,0.018411907415907258
NFLX,2015-12-10,2016-01-14,122.91,107.06,24,-0.13800322061191594
GOOG,2015-12-11,2015-12-16,738.87,758.09,4,0.011514957436020712
MSFT,2015-12-14,2015-12-18,55.14,54.13,5,0.0012948575656677175
AMZN,2015-12-18,2015-12-18,664.14,664.14,1,-0.00970700067099084
GOOG,2015-12-18,2015-12-24,739.31,748.4,5,-0.0013743778605075363
GOOGL,2015-12-18,2015-12-24,756.85,765.84,5,-0.005182962472234154
FB,2015-12-24,2015-12-24,105.02,105.02,1,0.003727420433909945
BAC,2016-01-04,2016-01-06,16.43,16.08,3,-0.044563279857397387
FB,2016-01-04,2016-01-11,102.22,97.51,6,-0.06831645327727875
JPM,2016-01-04,2016-01-07,63.62,60.27,4,-0.08723307587460238
MSFT,2016-01-04,2016-01-19,54.8,50.56,11,-0.08868060562364832
AMZN,2016-01-05,2016-01-15,633.79,570.18,9,-0.10488390712570073
GOOG,2016-01-06,2016-01-20,743.62,698.45,10,-0.05942794042392752
GOOGL,2016-01-06,2016-01-19,759.33,719.08,9,-0.05574304360957527
GE,2016-01-07,2016-01-15,28.97,28.49,7,-0.05818181818181822
XOM,2016-02-26,2016-03-07,81.75,84.46,7,0.02987440556029708
FB,2016-03-01,2016-03-29,109.82,116.14,20,0.0862326973438079
XOM,2016-03-09,2016-03-18,82.4,84.2,8,0.019000363064262338
GE,2016-03-11,2016-03-28,30.34,31.49,11,0.051770207080828134
GOOGL,2016-03-23,2016-04-13,757.56,771.91,15,0.015604236563384166
AAPL,2016-03-24,2016-03-30,105.67,109.56,4,0.03231885423537162
GOOG,2016-03-24,2016-04-15,735.3,759.0,16,0.02837167709942312
XOM,2016-03-24,2016-05-10,83.98,90.0,33,0.07462686567164156
C,2016-03-30,2016-04-13,41.88,44.25,11,0.06064237775647152
JPM,2016-03-30,2016-04-12,59.71,59.28,10,0.004235134677282648
AMZN,2016-04-04,2016-04-14,593.19,620.75,9,0.03717627401837942
AAPL,2016-04-06,2016-05-06,110.96,92.72,23,-0.15563245606046794
BAC,2016-04-06,2016-04-13,13.27,13.79,6,0.045489006823350664
FB,2016-04-06,2016-04-29,113.71,117.58,18,0.04776332204598166
GE,2016-04-06,2016-05-16,30.9,29.96,29,-0.03292446739832133
MSFT,2016-04-06,2016-04-18,55.12,56.46,9,0.03482404692082097
NFLX,2016-04-06,2016-04-12,104.83,106.98,5,0.019439679817038424
NFLX,2016-04-20,2016-05-06,96.77,90.84,13,-0.0370998516005937
JPM,2016-04-22,2016-05-24,63.97,64.54,23,0.01477987421383653
GOOG,2016-04-25,2016-05-11,723.15,715.29,13,-0.004841604407529454
GOOGL,2016-04-25,2016-05-10,742.21,739.38,12,0.0021822519213303693
MSFT,2016-04-25,2016-05-06,52.11,50.39,10,-0.026844341444573372
AMZN,2016-04-26,2016-05-03,616.88,671.32,6,0.07205365697860122
C,2016-04-26,2016-05-23,47.1,45.11,20,-0.03384022274577003
BAC,2016-04-29,2016-05-24,14.56,14.68,18,-0.007437457741717335
FB,2016-05-06,2016-06-29,119.49,114.16,38,-0.030982089805618562
AMZN,2016-05-09,2016-05-31,679.75,722.79,16,0.07246828399732896
XOM,2016-05-16,2016-06-07,89.57,90.71,16,0.023122039251071813
BAC,2016-05-27,2016-06-22,14.88,13.61,18,-0.07414965986394562
C,2016-05-27,2016-05-27,46.58,46.58,1,0.010193016699197477
JPM,2016-06-03,2016-06-30,64.64,62.15,20,-0.055614648229751706
AMZN,2016-06-08,2016-07-01,726.64,725.68,18,0.00268052062895463
C,2016-06-09,2016-06-21,45.01,42.92,9,-0.057945566286216055
XOM,2016-06-13,2016-06-29,90.59,92.46,13,0.027561680373415998
NFLX,2016-06-20,2016-06-24,93.8,88.44,5,-0.06363155108523033
XOM,2016-07-08,2016-07-12,93.54,94.95,3,0.021407056798623314
AMZN,2016-07-13,2016-08-01,742.63,767.74,14,0.02610229748332693
XOM,2016-07-14,2016-08-10,94.95,86.41,20,-0.08927065767284992
MSFT,2016-07-20,2016-07-20,55.91,55.91,1,0.05311734789979261
GE,2016-07-21,2016-08-03,32.59,31.13,10,-0.05033557046979864
AAPL,2016-07-25,2016-07-28,97.34,104.34,4,0.057571457530914305
GOOG,2016-07-26,2016-11-18,738.42,760.54,83,0.028076293983265943
GOOGL,2016-07-26,2016-08-17,757.65,805.42,17,0.06323265392332855
FB,2016-07-28,2016-08-01,125.0,124.31,3,0.007864439760012942
MSFT,2016-07-28,2016-08-05,56.21,57.96,7,0.03150026695141506
BAC,2016-08-03,2016-08-05,14.48,15.05,3,0.065109695682944
FB,2016-08-03,2016-08-29,122.51,126.54,19,0.02802827199610003
JPM,2016-08-03,2016-08-03,64.66,64.66,1,0.01586802827965439
AMZN,2016-08-09,2016-08-26,768.31,769.0,14,0.0031830515549990945
BAC,2016-08-11,2016-08-11,14.88,14.88,1,0.004726536124240344
JPM,2016-08-11,2016-08-29,65.46,66.95,13,0.025582107843137303
GE,2016-08-12,2016-08-29,31.24,31.36,12,0.0022371364653244186
BAC,2016-08-15,2016-08-16,15.02,15.17,2,0.017437961099932897
C,2016-08-15,2016-08-16,46.39,46.62,2,0.022817025010969605
MSFT,2016-08-17,2016-10-24,57.56,61.0,48,0.06197771587743661
AAPL,2016-08-23,2016-09-15,108.85,115.57,17,0.06506312782232082
C,2016-08-24,2016-08-30,46.66,47.9,5,0.028117621807254745
GOOGL,2016-08-25,2016-09-07,791.3,807.99,9,0.018132560483870686
NFLX,2016-08-25,2016-09-06,97.32,100.09,8,0.051586467745324605
AMZN,2016-08-31,2016-10-24,769.16,838.09,38,0.09186013184293396
BAC,2016-09-07,2016-10-05,15.7,16.11,21,0.02091254752851701
JPM,2016-09-08,2016-11-10,67.25,76.65,46,0.14130434782608714
NFLX,2016-09-08,2016-10-03,99.66,102.63,18,0.035098335854765406
C,2016-09-12,2016-11-07,47.79,49.82,41,0.0561797752808999
FB,2016-09-14,2016-10-24,127.77,133.28,29,0.04771637449886024
GOOGL,2016-09-14,2016-09-15,790.46,801.23,2,0.015861142103661408
AAPL,2016-09-20,2016-10-10,113.57,116.05,15,0.021746786406057428
