date,ticker,close,entry_signal,exit_signal,sma_fast_col,sma_slow_col,trend_up,trend_down,rsi_not_hot,nn_prob,nn_bullish,nn_bearish,entry_long,exit_long
2017-12-18,C,75.67,True,False,74.55600000000001,73.63883333333334,1,0,1,0.5741336681773531,1,0,1,0
2017-12-18,FB,180.82,False,False,178.515,175.81716666666668,1,0,1,0.5492542564542048,0,0,0,0
2017-12-18,GE,17.76,False,True,17.933,20.638916666666667,0,1,1,0.4819892008813559,0,0,0,1
2017-12-18,GOOG,1077.14,False,False,1034.358,1006.1299999999999,1,0,0,0.6079640194876899,1,0,0,0
2017-12-18,GOOGL,1085.09,True,False,1047.6074999999998,1021.4646666666667,1,0,1,0.5753865596418313,1,0,1,0
2017-12-18,JPM,106.96,True,False,103.556,99.93100000000001,1,0,1,0.5799055047862911,1,0,1,0
2017-12-18,MSFT,86.38,True,False,83.966,80.86516666666667,1,0,1,0.5998291075137687,1,0,1,0
2017-12-18,NFLX,190.42,False,True,189.81900000000002,191.99616666666668,0,1,1,0.5105013554494918,0,0,0,1
2017-12-18,XOM,82.94,False,True,82.3735,82.48941666666668,0,1,1,0.5648714999543626,1,0,0,1
2017-12-19,AAPL,174.54,True,False,172.177,165.65433333333334,1,0,1,0.5933577238921496,1,0,1,0
2017-12-19,AMZN,1187.38,True,False,1167.53,1081.6755,1,0,1,0.5998035106329886,1,0,1,0
2017-12-19,BAC,29.45,True,False,28.351,27.16025,1,0,1,0.567457916698373,1,0,1,0
2017-12-19,C,74.7,True,False,74.6885,73.70316666666666,1,0,1,0.5902894608847732,1,0,1,0
2017-12-19,FB,179.51,False,False,178.5535,176.0945,1,0,1,0.5250023174587405,0,0,0,0
2017-12-19,GE,17.59,False,True,17.913500000000003,20.513583333333333,0,1,1,0.5583731897609588,1,0,0,1
2017-12-19,GOOG,1070.68,False,False,1036.973,1008.6251666666666,1,0,1,0.5231462112277517,0,0,0,0
2017-12-19,GOOGL,1079.78,False,False,1049.8635,1023.8896666666667,1,0,1,0.523442139349693,0,0,0,0
2017-12-19,JPM,106.51,True,False,103.931,100.1375,1,0,1,0.5535024079319911,1,0,1,0
2017-12-19,MSFT,85.83,True,False,84.131,81.07466666666667,1,0,1,0.5773895740511767,1,0,1,0
2017-12-19,NFLX,187.02,False,True,189.46499999999997,192.13733333333332,0,1,1,0.561735893972502,1,0,0,1
2017-12-19,XOM,82.44,False,True,82.46799999999999,82.51375,0,1,1,0.5768735705659479,1,0,0,1
2017-12-20,AAPL,174.35,True,False,172.2375,166.0078333333333,1,0,1,0.5528198106046079,1,0,1,0
2017-12-20,AMZN,1177.62,True,False,1169.4365,1085.6591666666668,1,0,1,0.576180719702609,1,0,1,0
2017-12-20,BAC,29.48,True,False,28.4885,27.238083333333336,1,0,1,0.6239312422682791,1,0,1,0
2017-12-20,C,74.66,True,False,74.8025,73.76516666666666,1,0,1,0.5886252392237029,1,0,1,0
2017-12-20,FB,177.89,True,False,178.355,176.32249999999996,1,0,1,0.583302218058767,1,0,1,0
2017-12-20,GE,17.45,False,True,17.8945,20.388916666666663,0,1,1,0.5774635755970129,1,0,0,1
2017-12-20,GOOG,1064.95,False,False,1038.496,1010.9600000000002,1,0,1,0.48706687624532446,0,0,0,0
2017-12-20,GOOGL,1073.56,False,False,1051.0265,1026.1585,1,0,1,0.4810901997530474,0,0,0,0
2017-12-20,JPM,106.14,True,False,104.2915,100.34483333333333,1,0,1,0.5848763494089401,1,0,1,0
2017-12-20,MSFT,85.52,True,False,84.221,81.279,1,0,1,0.5632182282596482,1,0,1,0
2017-12-20,NFLX,188.82,False,True,189.09449999999998,192.29466666666667,0,1,1,0.5817477397227767,1,0,0,1
2017-12-20,XOM,82.87,True,False,82.56800000000001,82.54674999999999,1,0,1,0.5695810365465747,1,0,1,0
2017-12-21,AAPL,175.01,True,False,172.24,166.35416666666666,1,0,1,0.5731501939710747,1,0,1,0
2017-12-21,AMZN,1174.76,True,False,1170.3665,1089.3906666666667,1,0,1,0.569327295998674,1,0,1,0
2017-12-21,BAC,29.82,False,False,28.646499999999996,27.31158333333333,1,0,0,0.6506025728239788,1,0,0,0
2017-12-21,C,75.82,True,False,74.9805,73.82416666666668,1,0,1,0.606319219215513,1,0,1,0
2017-12-21,FB,177.45,True,False,178.18400000000003,176.48533333333336,1,0,1,0.5842754892935117,1,0,1,0
2017-12-21,GE,17.47,False,True,17.8605,20.273916666666665,0,1,1,0.5750349369314409,1,0,0,1
2017-12-21,GOOG,1063.63,False,True,1039.8794999999998,1012.9456666666666,1,0,1,0.406820782479748,0,1,0,1
2017-12-21,GOOGL,1070.85,False,True,1051.9730000000002,1028.0076666666666,1,0,1,0.4245981637815592,0,1,0,1
2017-12-21,JPM,107.83,True,False,104.751,100.55566666666667,1,0,1,0.6031054728291041,1,0,1,0
